"Accession";"Pvalue";"Log2FC";"ShortName";"fdr";"Region";"SubRegion"
"A2A432";0.200132261277443;-0.0758857186867186;"Cul4b";0.999936451888609;"dHC";"CA1"
"A2A5R2";0.335215856761692;0.468905634306726;"Arfgef2";0.999936451888609;"dHC";"CA1"
"A2A690";0.997387360131927;0.000288820030197812;"Tanc2";0.999936451888609;"dHC";"CA1"
"A2A699";0.281996843381147;-0.047963882136667;"Fam171a2";0.999936451888609;"dHC";"CA1"
"A2A8Z1";0.539012996701658;0.118464655932913;"Osbpl9";0.999936451888609;"dHC";"CA1"
"A2ADY9";0.420791809862058;0.0797672044784754;"Ddi2";0.999936451888609;"dHC";"CA1"
"A2AFR3";0.538627702488931;0.0540923271313218;"Frmpd4";0.999936451888609;"dHC";"CA1"
"A2AG50";0.834320715469873;-0.0225102475168235;"Map7d2";0.999936451888609;"dHC";"CA1"
"A2AGT5";0.249265866284305;0.131051094607098;"Ckap5";0.999936451888609;"dHC";"CA1"
"A2AHC3";0.961874737584076;-0.00401095617236358;"Camsap1";0.999936451888609;"dHC";"CA1"
"A2AHG0";0.722078320108177;0.0284736413404261;"Lzts3";0.999936451888609;"dHC";"CA1"
"A2AJA9";0.816739217938789;-0.0167214974889305;"Ajm1";0.999936451888609;"dHC";"CA1"
"A2AJI0";0.884073382093562;-0.0095707011277959;"Map7d1";0.999936451888609;"dHC";"CA1"
"A2ALS5";0.380795697442559;-0.0491134860005502;"Rap1gap";0.999936451888609;"dHC";"CA1"
"A2ALU4";0.657124943616769;0.0470929565359057;"Shroom2";0.999936451888609;"dHC";"CA1"
"A2AN08";0.939202554826832;-0.00345130670456228;"Ubr4";0.999936451888609;"dHC";"CA1"
"A2AP18";0.699475378268782;-0.0301793682932399;"Plch2";0.999936451888609;"dHC";"CA1"
"A2APV2";0.373162526475048;0.191800712085959;"Fmnl2";0.999936451888609;"dHC";"CA1"
"A2APX8";0.447356477933778;0.0877497245267769;"Scn1a";0.999936451888609;"dHC";"CA1"
"A2APY7";0.54540852247913;0.050067005862962;"Ndufaf5";0.999936451888609;"dHC";"CA1"
"A2AQ07";0.411922269368861;-0.12497768885251;"Tubb1";0.999936451888609;"dHC";"CA1"
"A2AQ25";0.548267632591006;0.0420400753300036;"Skt";0.999936451888609;"dHC";"CA1"
"A2ARP1";0.0369100061662814;-0.242116502394689;"Ppip5k1";0.999936451888609;"dHC";"CA1"
"A2ASQ1";0.580880094487726;0.117077544127147;"Agrn";0.999936451888609;"dHC";"CA1"
"A2ASZ8";0.220467145095168;-0.263535890504837;"Slc25a25";0.999936451888609;"dHC";"CA1"
"A2AV25";0.829289712373459;0.0324692590092681;"Fibcd1";0.999936451888609;"dHC";"CA1"
"A2AWA9";0.25628991073045;-0.10903813958687;"Rabgap1";0.999936451888609;"dHC";"CA1"
"A2BDX3";0.808030530795924;-0.0263250758322613;"Mocs3";0.999936451888609;"dHC";"CA1"
"A2CG49";0.823461079111601;0.00952461180006736;"Kalrn";0.999936451888609;"dHC";"CA1"
"A2RSJ4";0.656970424325254;-0.0680993161146652;"Uhrf1bp1l";0.999936451888609;"dHC";"CA1"
"A2RT62";0.951639099061729;0.004513158014948;"Fbxl16";0.999936451888609;"dHC";"CA1"
"A3KGB4";0.501463838950997;0.0518363570130127;"Tbc1d8b";0.999936451888609;"dHC";"CA1"
"A3KMP2";0.46522997591813;0.103912705747819;"Ttc38";0.999936451888609;"dHC";"CA1"
"A6H5Z3";0.439650177236816;0.067378933564358;"Exoc6b";0.999936451888609;"dHC";"CA1"
"A6H611";0.71512000412856;-0.0550154541065933;"Mipep";0.999936451888609;"dHC";"CA1"
"A6H630";0.983106226680972;-0.00167079186595132;"Armt1";0.999936451888609;"dHC";"CA1"
"B0F2B4";0.204727358635215;0.16227334174812;"Nlgn4l";0.999936451888609;"dHC";"CA1"
"B0V2N1";0.95758511106928;0.0244567124990596;"Ptprs";0.999936451888609;"dHC";"CA1"
"B1AVZ0";0.683336354198028;0.0526217261145128;"Uprt";0.999936451888609;"dHC";"CA1"
"B1AXH1";0.889581137380242;0.0458735559882566;"Nhsl2";0.999936451888609;"dHC";"CA1"
"B1AXV0";0.187034999586555;-0.121054127721383;"Frrs1l";0.999936451888609;"dHC";"CA1"
