"Accession";"pvalue.Region";"pvalue.SubRegion";"pvalue.Interaction";"log2FC.Region";"log2FC.CA1CA3";"log2FC.CA1DG";"log2FC.CA3DG";"meanSubRegionLogFC";"FDR.SubRegion";"FDR.Region";"FDR.Interaction";"GeneSymbol"
"A2A432";0.000257661367262424;2.68005484887775e-07;0.0826572588087805;0.119296056086339;0.223438882271298;0.0560709175043819;-0.167367964766916;0.148959254847532;5.28875758814253e-07;0.00067270867277535;0.157095315522129;"Cul4b"
"A2A5R2";0.706266362068905;0.534048288987126;0.807727241105114;-0.052888385343735;-0.00997210362709922;0.161570678178382;0.171542781805481;0.114361854536988;0.55562230408486;0.773800975700866;0.858995839148762;"Arfgef2"
"A2A690";2.60088166876897e-05;5.21906291913427e-07;0.0479411965363808;-0.103690970417743;0.16657095995649;0.10425637909443;-0.0623145808620595;0.11104730663766;1.00067711111981e-06;7.8472276699812e-05;0.103036277421543;"Tanc2"
"A2A699";4.99283001638924e-09;2.32708881488432e-22;0.015314354140564;0.150918967305991;0.390479762463482;0.107146523574567;-0.283333238888915;0.260319841642321;1.90620563569635e-21;2.54584067446424e-08;0.040932561330848;"Fam171a2"
"A2A8Z1";0.0749122682180739;0.000330401908336606;0.312128888421846;0.088103668338519;0.166993751922567;0.238406272315711;0.0714125203931442;0.158937514877141;0.000490758259743375;0.116033834411176;0.435466698050862;"Osbpl9"
"A2ADY9";5.17078742787523e-10;2.30079234216031e-12;0.540511010668628;-0.227228347228856;-0.126293565275892;-0.341201601014522;-0.214908035738629;0.227467734009681;7.04849589498506e-12;2.9705147435374e-09;0.648919058732862;"Ddi2"
"A2AFR3";0.606583203429575;0.0341537236221144;0.149536177274341;0.0364014832460278;-0.0898782484519316;0.137640416188582;0.227518664640513;0.151679109760342;0.0412532456628004;0.683502541795506;0.250092160994279;"Frmpd4"
"A2AG50";0.00215410225863957;3.24420236234245e-30;0.186972581173677;-0.128276890101345;-0.286415100242918;0.657751105568616;0.944166205811534;0.629444137207689;5.93923552961368e-29;0.00461658445980651;0.296096755699221;"Map7d2"
"A2AGT5";0.0309365475205389;6.18751048411911e-07;0.0161622543420663;-0.0941813913363987;-0.122479035901595;0.184833192478933;0.307312228380528;0.204874818920352;1.18040454245059e-06;0.052966855163334;0.0427105138656865;"Ckap5"
"A2AHC3";0.319577751676918;0.00952967518980194;0.0450268994791821;0.0313188161405193;0.00590697262209439;0.100036344605165;0.0941293719830707;0.0666908964034434;0.0123447071192703;0.409269611186748;0.0977405339408816;"Camsap1"
"A2AHG0";1.96644699967469e-06;1.39248691018247e-33;0.272497642271113;-0.224765795057699;0.635210768158482;-0.543560555176075;-1.17877132333456;0.785847548889704;3.38541417603562e-32;6.99769605621943e-06;0.392474092351617;"Lzts3"
"A2AJA9";0.430852904045144;3.25773174442203e-27;0.0123669176713871;0.0197092556020237;0.143183287771972;-0.373478754124047;-0.516662041896019;0.344441361264013;4.32325186519588e-26;0.523535376006874;0.0344482702138822;"Ajm1"
"A2AJI0";0.000284503465319269;2.35539564876023e-19;0.0214648310595282;-0.0906236974534309;0.0478336381059492;0.340913432823751;0.293079794717801;0.2272756218825;1.42590585190883e-18;0.000737089540584192;0.0540262121772984;"Map7d1"
"A2ALS5";7.78982585825618e-11;6.00956017728256e-35;0.320151325554994;-0.164818998607892;0.555058592588537;0.513972583045513;-0.0410860095430241;0.370039061725691;1.77311197852055e-33;5.00492194148848e-10;0.443816443096734;"Rap1gap"
"A2ALU4";4.19339730554783e-09;0.0186471145255681;0.00762985861859272;-0.238926114816268;-0.127414957347959;-0.0582147027906732;0.0692002545572858;0.0849433048986394;0.0233979900948919;2.16730177067345e-08;0.0231871403419033;"Shroom2"
"A2AN08";0.209871303196178;1.68277499712886e-07;0.592815961040987;-0.0227450596592238;-0.0553931735054025;0.0808090594137294;0.136202232919132;0.0908014886127546;3.37777623267807e-07;0.285624223203396;0.690785163191549;"Ubr4"
"A2AP18";8.77992982476774e-19;1.06155552937401e-22;8.02063347861947e-15;0.404065077999313;-0.109998329819302;0.467415620987449;0.577413950806751;0.384942633871167;9.09197264180581e-22;1.4990003785095e-17;6.77075142820127e-13;"Plch2"
"A2APV2";0.00614034540741158;0.000290362733981438;0.0300416794529419;-0.165007681884601;-0.146141530313425;0.159430673717445;0.30557220403087;0.203714802687247;0.000434685885994872;0.0120601361292773;0.070882502994946;"Fmnl2"
"A2APX8";0.0024340281151563;6.34156735348111e-08;0.412588810869068;-0.111841658747007;-0.190555913485706;0.0845683009614291;0.275124214447136;0.183416142964757;1.32000158816638e-07;0.00517447389947732;0.534238345219897;"Scn1a"
"A2APY7";0.0039459204803775;0.587846453725399;0.0304624661519098;0.101378932266956;0.0111902089839191;0.0441141882297806;0.0329239792458615;0.0294094588198538;0.606403724667851;0.00803191717338728;0.0717083149772686;"Ndufaf5"
"A2AQ07";0.703914335715923;0.0675125390516898;0.0716867166281999;-0.0561777241971946;-0.0161330626123579;0.360928745233384;0.377061807845742;0.251374538563828;0.078549236668486;0.772518358414438;0.140190432325032;"Tubb1"
"A2AQ25";6.51517691956529e-06;3.55225127488646e-41;2.25030127497374e-05;0.140124097249446;1.00803024434695;0.39701894726576;-0.611011297081195;0.67202016289797;3.02905663191081e-39;2.15917368141318e-05;0.000147055463822245;"Skt"
"A2ARP1";0.145123314127342;6.35882801988805e-13;0.0870370806131713;0.0737050487212088;0.234123980286089;0.505542663413392;0.271418683127303;0.337028442275595;2.0756689959656e-12;0.20891982550118;0.164085414381779;"Ppip5k1"
"A2ASQ1";0.476639493896668;0.000325318360388165;0.257894613104689;0.057100004494913;0.413216739130714;0.188285643430143;-0.224931095700571;0.275477826087143;0.000483443763921581;0.566487063727796;0.376617842011124;"Agrn"
"A2ASZ8";0.427090615863762;0.0155331403911546;0.169524841030744;-0.072146951738663;-0.137894122904367;0.18920923813425;0.327103361038617;0.218068907359078;0.0196495017441713;0.520226165502758;0.273889416210756;"Slc25a25"
"A2AV25";2.36426011251852e-07;3.25122369821735e-37;0.0639585740773198;0.441340986219348;1.97354163858773;2.14753326100842;0.173991622420695;1.43168884067228;1.33519848903818e-35;9.57998197592505e-07;0.128297100079852;"Fibcd1"
"A2AWA9";0.0575871759795438;3.05557632823028e-05;0.866625747051649;0.0556998094126051;-0.150097240314654;-0.149817767692744;0.000279472621910415;0.100064826876436;5.01127709740518e-05;0.0923415849382396;0.902561907227539;"Rabgap1"
"A2BDX3";0.472744842359733;2.87347685111335e-11;9.95246150821029e-08;-0.0260519820137723;0.157788562560363;-0.206456498559703;-0.364245061120066;0.242830040746711;8.04838354887878e-11;0.562078081350247;1.18609923621377e-06;"Mocs3"
"A2CG49";1.25231362346384e-30;6.0180514111531e-13;0.00865972334301735;-0.506051720112076;0.039214300883291;-0.234518286815323;-0.273732587698614;0.182488391799076;1.96654389661229e-12;1.40954855618764e-28;0.0257000969135056;"Kalrn"
"A2RSJ4";9.07444786062072e-10;0.00375423780346857;4.02581515405596e-07;-0.267817313405248;-0.0481634996998928;0.110322063316101;0.158485563015994;0.105657042010662;0.00505723789217243;5.07868269768441e-09;4.17558097378022e-06;"Uhrf1bp1l"
"A2RT62";1.77404847319548e-06;1.39958301767627e-08;1.23865602193095e-05;-0.131498159259248;-0.200567611041549;-0.159146490930649;0.0414211201109005;0.133711740694366;3.11827917208077e-08;6.38027610655746e-06;8.67344619965013e-05;"Fbxl16"
"A3KGB4";3.1842475031664e-07;2.21194638444474e-10;0.489073735817096;0.258559857838687;-0.277415410171489;-0.431270644700103;-0.153855234528613;0.287513763133402;5.75522693692429e-10;1.26330654857999e-06;0.607788260661111;"Tbc1d8b"
"A3KMP2";3.59543114010798e-11;2.26921788336126e-07;0.0203913033662694;-0.299904839712728;-0.175647581492791;0.128114749283482;0.303762330776273;0.202508220517515;4.52206763772777e-07;2.39616562166407e-10;0.051770401779526;"Ttc38"
"A6H5Z3";6.2231650323187e-10;4.14347279916324e-06;5.28685162278567e-06;-0.252008212720014;0.139467773658454;0.234452279859076;0.0949845062006212;0.15630151990605;7.30395234144842e-06;3.56833934588991e-09;4.10914119735183e-05;"Exoc6b"
"A6H611";0.0122004475656678;0.358993849041152;0.0215083246466811;-0.126896412601059;0.0838545864490889;0.0626595627245869;-0.021195023724502;0.055903057632726;0.384013483715615;0.0226494564154333;0.0540317464086331;"Mipep"
"A6H630";5.97536720653947e-19;4.75456567422851e-11;1.54429736915391e-07;-0.230128982074971;-0.0582662099820013;-0.188405180604091;-0.13013897062209;0.125603453736061;1.30055131268951e-10;1.03766519660991e-17;1.75772273590215e-06;"Armt1"
"B0F2B4";0.00284047984600064;8.04764261881426e-14;0.0114907945318228;-0.133966733382678;0.347643733804873;-0.151198051563501;-0.498841785368374;0.332561190245582;2.8339265259069e-13;0.00595736249275083;0.032239868580838;"Nlgn4l"
"B0V2N1";0.414634754296635;0.21711456006035;0.898468499497608;-0.117627454377025;-0.303119179529538;-0.208189816825161;0.0949293627043772;0.202079453019692;0.237513012247445;0.507889971103375;0.926831558035719;"Ptprs"
"B1AVZ0";0.480170932842807;0.0796675256622973;0.146733351450098;-0.0589694744577223;0.166652263860911;0.203383634528203;0.036731370667292;0.135589089685469;0.0920218968026308;0.569348211045373;0.246502296880513;"Uprt"
