"logFC";"EnsembleID";"Region";"TimePoint";"cluster";"TimePointNumeric";"ShortName"
-0.177129627;"ENSMUSG00000000056";"vHC";"Swim_45min";9;45;"Narf"
0.781885256;"ENSMUSG00000000125";"vHC";"Swim_45min";1;45;"Wnt3"
-0.09643084;"ENSMUSG00000000126";"vHC";"Swim_45min";12;45;"Wnt9a"
-0.173130386;"ENSMUSG00000000142";"vHC";"Swim_45min";5;45;"Axin2"
-0.261366661;"ENSMUSG00000000184";"vHC";"Swim_45min";5;45;"Ccnd2"
-0.316601889;"ENSMUSG00000000416";"vHC";"Swim_45min";17;45;"Cttnbp2"
0.442314947;"ENSMUSG00000000530";"vHC";"Swim_45min";18;45;"Acvrl1"
0.264959923;"ENSMUSG00000000531";"vHC";"Swim_45min";13;45;"Grasp"
-0.036644005;"ENSMUSG00000000560";"vHC";"Swim_45min";24;45;"Gabra2"
-0.105118454;"ENSMUSG00000001016";"vHC";"Swim_45min";21;45;"Ilf2"
0.243230917;"ENSMUSG00000001054";"vHC";"Swim_45min";13;45;"Rmnd5b"
0.442001476;"ENSMUSG00000001248";"vHC";"Swim_45min";13;45;"Gramd1a"
-0.061116591;"ENSMUSG00000001700";"vHC";"Swim_45min";9;45;"Gramd3"
0.157766292;"ENSMUSG00000001768";"vHC";"Swim_45min";18;45;"Rin2"
-0.267589776;"ENSMUSG00000001774";"vHC";"Swim_45min";12;45;"Chordc1"
1.1896076;"ENSMUSG00000001827";"vHC";"Swim_45min";15;45;"Folr1"
-0.117344264;"ENSMUSG00000001864";"vHC";"Swim_45min";17;45;"Aif1l"
-0.315661187;"ENSMUSG00000002325";"vHC";"Swim_45min";5;45;"Irf9"
-0.113098809;"ENSMUSG00000002748";"vHC";"Swim_45min";21;45;"Baz1b"
0.110848036;"ENSMUSG00000002814";"vHC";"Swim_45min";25;45;"Top3a"
0.184038146;"ENSMUSG00000002831";"vHC";"Swim_45min";22;45;"Plin4"
0.657724257;"ENSMUSG00000002910";"vHC";"Swim_45min";7;45;"Arrdc2"
0.522248164;"ENSMUSG00000002963";"vHC";"Swim_45min";1;45;"Pnkp"
0.926788285;"ENSMUSG00000003032";"vHC";"Swim_45min";3;45;"Klf4"
0.721754865;"ENSMUSG00000003476";"vHC";"Swim_45min";19;45;"Crhr2"
0.134479408;"ENSMUSG00000003526";"vHC";"Swim_45min";13;45;"Prodh"
1.512303278;"ENSMUSG00000003545";"vHC";"Swim_45min";7;45;"Fosb"
0.189196293;"ENSMUSG00000003585";"vHC";"Swim_45min";10;45;"Sec14l2"
0.071981703;"ENSMUSG00000003814";"vHC";"Swim_45min";9;45;"Calr"
0.073837563;"ENSMUSG00000004040";"vHC";"Swim_45min";10;45;"Stat3"
0.071374385;"ENSMUSG00000004043";"vHC";"Swim_45min";1;45;"Stat5a"
0.196684456;"ENSMUSG00000004044";"vHC";"Swim_45min";18;45;"Ptrf"
0.560818128;"ENSMUSG00000004328";"vHC";"Swim_45min";22;45;"Hif3a"
0.121485694;"ENSMUSG00000004530";"vHC";"Swim_45min";10;45;"Coro1c"
0.068637985;"ENSMUSG00000005057";"vHC";"Swim_45min";25;45;"Sh2b2"
0.111892604;"ENSMUSG00000005125";"vHC";"Swim_45min";10;45;"Ndrg1"
-0.371132996;"ENSMUSG00000005267";"vHC";"Swim_45min";5;45;"Zfp287"
-0.145726407;"ENSMUSG00000005374";"vHC";"Swim_45min";21;45;"Tbl2"
-0.107028177;"ENSMUSG00000005583";"vHC";"Swim_45min";21;45;"Mef2c"
-0.161122324;"ENSMUSG00000005882";"vHC";"Swim_45min";21;45;"Uqcc1"
-0.042077085;"ENSMUSG00000006386";"vHC";"Swim_45min";24;45;"Tek"
1.023654729;"ENSMUSG00000006445";"vHC";"Swim_45min";3;45;"Epha2"
-0.226184723;"ENSMUSG00000006586";"vHC";"Swim_45min";12;45;"Runx1t1"
0.030018489;"ENSMUSG00000006800";"vHC";"Swim_45min";10;45;"Sulf2"
0.250284707;"ENSMUSG00000007476";"vHC";"Swim_45min";13;45;"Lrrc8a"
-0.116666706;"ENSMUSG00000007655";"vHC";"Swim_45min";24;45;"Cav1"
0.140603463;"ENSMUSG00000007659";"vHC";"Swim_45min";13;45;"Bcl2l1"
0.405675603;"ENSMUSG00000007682";"vHC";"Swim_45min";1;45;"Dio2"
-0.161897313;"ENSMUSG00000007827";"vHC";"Swim_45min";24;45;"Ankrd26"
-0.156547245;"ENSMUSG00000007908";"vHC";"Swim_45min";24;45;"Hmgcll1"
-0.003512509;"ENSMUSG00000008090";"vHC";"Swim_45min";9;45;"Fgfrl1"
0.480071093;"ENSMUSG00000008384";"vHC";"Swim_45min";18;45;"Sertad1"
0.142052218;"ENSMUSG00000008393";"vHC";"Swim_45min";10;45;"Carhsp1"
-0.17646504;"ENSMUSG00000008429";"vHC";"Swim_45min";21;45;"Herpud2"
-0.001638843;"ENSMUSG00000008496";"vHC";"Swim_45min";9;45;"Pou2f2"
-0.232854355;"ENSMUSG00000008976";"vHC";"Swim_45min";12;45;"Gabpa"
-0.304226676;"ENSMUSG00000009207";"vHC";"Swim_45min";5;45;"Lnpk"
0.09481592;"ENSMUSG00000009291";"vHC";"Swim_45min";10;45;"Pttg1ip"
0.11938191;"ENSMUSG00000009293";"vHC";"Swim_45min";10;45;"Ube2g2"
0.207537538;"ENSMUSG00000010110";"vHC";"Swim_45min";16;45;"Stx5a"
-0.168570543;"ENSMUSG00000010505";"vHC";"Swim_45min";21;45;"Myt1"
-0.190430103;"ENSMUSG00000010554";"vHC";"Swim_45min";21;45;"Mettl16"
0.078809738;"ENSMUSG00000011148";"vHC";"Swim_45min";13;45;"Adssl1"
0.176250126;"ENSMUSG00000011179";"vHC";"Swim_45min";10;45;"Odc1"
-0.393613274;"ENSMUSG00000011427";"vHC";"Swim_45min";2;45;"Zfp790"
-0.565827424;"ENSMUSG00000012443";"vHC";"Swim_45min";12;45;"Kif11"
-0.11508128;"ENSMUSG00000013846";"vHC";"Swim_45min";9;45;"St3gal1"
-0.245262735;"ENSMUSG00000014039";"vHC";"Swim_45min";12;45;"Prdm15"
-0.237727277;"ENSMUSG00000014177";"vHC";"Swim_45min";21;45;"Tvp23b"
0.077740569;"ENSMUSG00000014361";"vHC";"Swim_45min";25;45;"Mertk"
0.259203061;"ENSMUSG00000014846";"vHC";"Swim_45min";13;45;"Tppp3"
0.246154408;"ENSMUSG00000015053";"vHC";"Swim_45min";25;45;"Gata2"
0.183195682;"ENSMUSG00000015085";"vHC";"Swim_45min";13;45;"Entpd2"
-0.032792572;"ENSMUSG00000015112";"vHC";"Swim_45min";25;45;"Slc25a13"
-0.112219551;"ENSMUSG00000015243";"vHC";"Swim_45min";10;45;"Abca1"
-0.102928941;"ENSMUSG00000015467";"vHC";"Swim_45min";20;45;"Egfl8"
0.223007087;"ENSMUSG00000015468";"vHC";"Swim_45min";25;45;"Notch4"
0.205377209;"ENSMUSG00000015478";"vHC";"Swim_45min";10;45;"Rnf5"
0.269211795;"ENSMUSG00000015950";"vHC";"Swim_45min";25;45;"Ncf1"
-0.05002773;"ENSMUSG00000015970";"vHC";"Swim_45min";9;45;"Chdh"
0.489787794;"ENSMUSG00000016024";"vHC";"Swim_45min";19;45;"Lbp"
-0.144290677;"ENSMUSG00000016087";"vHC";"Swim_45min";23;45;"Fli1"
0.155368294;"ENSMUSG00000016179";"vHC";"Swim_45min";13;45;"Camk1g"
0.04207689;"ENSMUSG00000016520";"vHC";"Swim_45min";10;45;"Lnx2"
0.458812226;"ENSMUSG00000016526";"vHC";"Swim_45min";13;45;"Dyrk3"
0.104923191;"ENSMUSG00000016528";"vHC";"Swim_45min";10;45;"Mapkapk2"
0.37171726;"ENSMUSG00000016559";"vHC";"Swim_45min";13;45;"H3f3b"
-0.43788259;"ENSMUSG00000016984";"vHC";"Swim_45min";5;45;"Etaa1"
0.323660693;"ENSMUSG00000017009";"vHC";"Swim_45min";25;45;"Sdc4"
0.058526374;"ENSMUSG00000017453";"vHC";"Swim_45min";20;45;"Pipox"
0.528223681;"ENSMUSG00000018143";"vHC";"Swim_45min";13;45;"Mafk"
-0.232007994;"ENSMUSG00000018166";"vHC";"Swim_45min";12;45;"Erbb3"
0.090704639;"ENSMUSG00000018334";"vHC";"Swim_45min";10;45;"Ksr1"
-0.054450687;"ENSMUSG00000018363";"vHC";"Swim_45min";21;45;"Smurf2"
-0.100498189;"ENSMUSG00000018401";"vHC";"Swim_45min";21;45;"Mtmr4"
-0.160207455;"ENSMUSG00000018427";"vHC";"Swim_45min";24;45;"Ypel2"
-0.097910364;"ENSMUSG00000018572";"vHC";"Swim_45min";5;45;"Phf23"
-0.325969973;"ENSMUSG00000018846";"vHC";"Swim_45min";5;45;"Pank3"
-0.095042365;"ENSMUSG00000019189";"vHC";"Swim_45min";21;45;"Rnf145"
0.207826578;"ENSMUSG00000019232";"vHC";"Swim_45min";25;45;"Etnppl"
-0.262549014;"ENSMUSG00000019256";"vHC";"Swim_45min";2;45;"Ahr"
0.191674598;"ENSMUSG00000019577";"vHC";"Swim_45min";10;45;"Pdk4"
0.044619936;"ENSMUSG00000019647";"vHC";"Swim_45min";9;45;"Sema6a"
-0.131953163;"ENSMUSG00000019789";"vHC";"Swim_45min";12;45;"Hey2"
-0.050818974;"ENSMUSG00000019803";"vHC";"Swim_45min";9;45;"Nr2e1"
-0.104116492;"ENSMUSG00000019916";"vHC";"Swim_45min";9;45;"P4ha1"
0.467566543;"ENSMUSG00000019960";"vHC";"Swim_45min";16;45;"Dusp6"
-0.111788459;"ENSMUSG00000019961";"vHC";"Swim_45min";5;45;"Tmpo"
1.097509951;"ENSMUSG00000019970";"vHC";"Swim_45min";7;45;"Sgk1"
-0.14070057;"ENSMUSG00000020034";"vHC";"Swim_45min";9;45;"Tcp11l2"
0.234909179;"ENSMUSG00000020044";"vHC";"Swim_45min";18;45;"Timp3"
-0.439996047;"ENSMUSG00000020052";"vHC";"Swim_45min";2;45;"Ascl1"
-0.208593521;"ENSMUSG00000020102";"vHC";"Swim_45min";24;45;"Slc16a7"
0.610228935;"ENSMUSG00000020108";"vHC";"Swim_45min";3;45;"Ddit4"
-0.057509287;"ENSMUSG00000020128";"vHC";"Swim_45min";24;45;"Vps54"
-0.425942148;"ENSMUSG00000020137";"vHC";"Swim_45min";2;45;"Thap2"
-0.237875128;"ENSMUSG00000020246";"vHC";"Swim_45min";21;45;"Hcfc2"
-0.233107672;"ENSMUSG00000020251";"vHC";"Swim_45min";17;45;"Glt8d2"
-0.237774728;"ENSMUSG00000020255";"vHC";"Swim_45min";21;45;"RP24-227O16.1"
-0.583789209;"ENSMUSG00000020335";"vHC";"Swim_45min";2;45;"Zfp354b"
-0.302701118;"ENSMUSG00000020362";"vHC";"Swim_45min";5;45;"Cnot6"
-0.434654398;"ENSMUSG00000020385";"vHC";"Swim_45min";2;45;"Clk4"
-0.001330158;"ENSMUSG00000020387";"vHC";"Swim_45min";10;45;"Jade2"
1.041547469;"ENSMUSG00000020423";"vHC";"Swim_45min";16;45;"Btg2"
0.311628265;"ENSMUSG00000020439";"vHC";"Swim_45min";18;45;"Smtn"
-0.121728385;"ENSMUSG00000020464";"vHC";"Swim_45min";21;45;"Pnpt1"
-0.440582673;"ENSMUSG00000020482";"vHC";"Swim_45min";2;45;"Ccdc117"
-0.011462453;"ENSMUSG00000020484";"vHC";"Swim_45min";9;45;"Xbp1"
-0.086410746;"ENSMUSG00000020513";"vHC";"Swim_45min";17;45;"Tubd1"
0.036147602;"ENSMUSG00000020571";"vHC";"Swim_45min";9;45;"Pdia6"
0.137702509;"ENSMUSG00000020601";"vHC";"Swim_45min";16;45;"Trib2"
0.218970717;"ENSMUSG00000020644";"vHC";"Swim_45min";10;45;"Id2"
-0.314385669;"ENSMUSG00000020659";"vHC";"Swim_45min";5;45;"Cbll1"
0.304695876;"ENSMUSG00000020681";"vHC";"Swim_45min";19;45;"Ace"
0.05285805;"ENSMUSG00000020715";"vHC";"Swim_45min";10;45;"Ern1"
-0.132936702;"ENSMUSG00000020721";"vHC";"Swim_45min";21;45;"Helz"
-0.002493361;"ENSMUSG00000020790";"vHC";"Swim_45min";9;45;"Ankfy1"
-0.149182676;"ENSMUSG00000020846";"vHC";"Swim_45min";24;45;"Fam101b"
-0.097598815;"ENSMUSG00000020863";"vHC";"Swim_45min";21;45;"Luc7l3"
0.699249699;"ENSMUSG00000020893";"vHC";"Swim_45min";3;45;"Per1"
-0.332620215;"ENSMUSG00000020948";"vHC";"Swim_45min";2;45;"Klhl28"
-0.09419285;"ENSMUSG00000020961";"vHC";"Swim_45min";21;45;"Ston2"
1.055210941;"ENSMUSG00000021025";"vHC";"Swim_45min";3;45;"Nfkbia"
1.189655744;"ENSMUSG00000021070";"vHC";"Swim_45min";3;45;"Bdkrb2"
-0.242626057;"ENSMUSG00000021112";"vHC";"Swim_45min";12;45;"Mpp5"
-0.100361097;"ENSMUSG00000021127";"vHC";"Swim_45min";24;45;"Zfp36l1"
0.511376662;"ENSMUSG00000021134";"vHC";"Swim_45min";1;45;"Srsf5"
-0.195686165;"ENSMUSG00000021224";"vHC";"Swim_45min";21;45;"Numb"
0.220996493;"ENSMUSG00000021226";"vHC";"Swim_45min";10;45;"Acot2"
0.097451779;"ENSMUSG00000021248";"vHC";"Swim_45min";10;45;"Tmed10"
1.922398735;"ENSMUSG00000021250";"vHC";"Swim_45min";4;45;"Fos"
-0.203597792;"ENSMUSG00000021301";"vHC";"Swim_45min";21;45;"Hecw1"
-0.333389714;"ENSMUSG00000021327";"vHC";"Swim_45min";2;45;"Zkscan3"
0.346209828;"ENSMUSG00000021365";"vHC";"Swim_45min";13;45;"Nedd9"
-0.230377483;"ENSMUSG00000021374";"vHC";"Swim_45min";24;45;"Nup153"
0.112385938;"ENSMUSG00000021390";"vHC";"Swim_45min";14;45;"Ogn"
-0.26567828;"ENSMUSG00000021413";"vHC";"Swim_45min";5;45;"Prpf4b"
0.922091054;"ENSMUSG00000021453";"vHC";"Swim_45min";3;45;"Gadd45g"
-0.061339124;"ENSMUSG00000021466";"vHC";"Swim_45min";21;45;"Ptch1"
-0.531239862;"ENSMUSG00000021541";"vHC";"Swim_45min";2;45;"Trpc7"
-0.176873572;"ENSMUSG00000021549";"vHC";"Swim_45min";24;45;"Rasa1"
0.004863899;"ENSMUSG00000021559";"vHC";"Swim_45min";10;45;"Dapk1"
0.101977571;"ENSMUSG00000021567";"vHC";"Swim_45min";13;45;"Nkd2"
-0.266565445;"ENSMUSG00000021624";"vHC";"Swim_45min";12;45;"Cd180"
-0.131304532;"ENSMUSG00000021668";"vHC";"Swim_45min";21;45;"Polk"
0.599345405;"ENSMUSG00000021692";"vHC";"Swim_45min";16;45;"Dimt1"
0.203314515;"ENSMUSG00000021701";"vHC";"Swim_45min";10;45;"Plk2"
-0.462486271;"ENSMUSG00000021733";"vHC";"Swim_45min";12;45;"Slc4a7"
0.087952439;"ENSMUSG00000021750";"vHC";"Swim_45min";10;45;"Fam107a"
-0.041633218;"ENSMUSG00000021782";"vHC";"Swim_45min";10;45;"Dlg5"
0.048712133;"ENSMUSG00000021868";"vHC";"Swim_45min";10;45;"Ppif"
-0.091434155;"ENSMUSG00000021870";"vHC";"Swim_45min";21;45;"Slmap"
0.016839451;"ENSMUSG00000021895";"vHC";"Swim_45min";10;45;"Arhgef3"
0.421411795;"ENSMUSG00000021903";"vHC";"Swim_45min";7;45;"Galnt15"
0.398518773;"ENSMUSG00000021904";"vHC";"Swim_45min";1;45;"Sema3g"
0.252596963;"ENSMUSG00000022041";"vHC";"Swim_45min";1;45;"Chrna2"
0.060781595;"ENSMUSG00000022043";"vHC";"Swim_45min";10;45;"Trim35"
0.195349442;"ENSMUSG00000022091";"vHC";"Swim_45min";10;45;"Sorbs3"
-0.076228553;"ENSMUSG00000022197";"vHC";"Swim_45min";5;45;"Pdzd2"
-0.169123556;"ENSMUSG00000022228";"vHC";"Swim_45min";24;45;"Zscan26"
-0.080372483;"ENSMUSG00000022306";"vHC";"Swim_45min";21;45;"Zfpm2"
-0.250715015;"ENSMUSG00000022342";"vHC";"Swim_45min";24;45;"Kcnv1"
-0.296168873;"ENSMUSG00000022358";"vHC";"Swim_45min";12;45;"Fbxo32"
-0.397769625;"ENSMUSG00000022360";"vHC";"Swim_45min";23;45;"Atad2"
0.093074665;"ENSMUSG00000022443";"vHC";"Swim_45min";10;45;"Myh9"
0.009412032;"ENSMUSG00000022449";"vHC";"Swim_45min";25;45;"Adamts20"
0.195474921;"ENSMUSG00000022469";"vHC";"Swim_45min";1;45;"Rapgef3"
-0.036973472;"ENSMUSG00000022494";"vHC";"Swim_45min";9;45;"Shisa9"
0.579400877;"ENSMUSG00000022503";"vHC";"Swim_45min";16;45;"Nubp1"
-0.360580744;"ENSMUSG00000022504";"vHC";"Swim_45min";23;45;"Ciita"
0.492770617;"ENSMUSG00000022555";"vHC";"Swim_45min";19;45;"Dgat1"
0.493865372;"ENSMUSG00000022602";"vHC";"Swim_45min";16;45;"Arc"
-0.276031289;"ENSMUSG00000022604";"vHC";"Swim_45min";24;45;"Cep97"
0.692387228;"ENSMUSG00000022635";"vHC";"Swim_45min";18;45;"Zcrb1"
-0.097026971;"ENSMUSG00000022636";"vHC";"Swim_45min";21;45;"Alcam"
0.160595005;"ENSMUSG00000022706";"vHC";"Swim_45min";10;45;"Mrpl40"
-0.052103438;"ENSMUSG00000022790";"vHC";"Swim_45min";21;45;"Igsf11"
-0.038288088;"ENSMUSG00000022799";"vHC";"Swim_45min";10;45;"Arhgap31"
-0.215548357;"ENSMUSG00000022828";"vHC";"Swim_45min";21;45;"Gtf2e1"
0.406554586;"ENSMUSG00000022893";"vHC";"Swim_45min";16;45;"Adamts1"
1.417328419;"ENSMUSG00000022949";"vHC";"Swim_45min";15;45;"Clic6"
-0.13512446;"ENSMUSG00000022967";"vHC";"Swim_45min";24;45;"Ifnar1"
-0.232434508;"ENSMUSG00000022969";"vHC";"Swim_45min";12;45;"Il10rb"
0.098545847;"ENSMUSG00000023008";"vHC";"Swim_45min";24;45;"Fmnl3"
0.133589163;"ENSMUSG00000023019";"vHC";"Swim_45min";10;45;"Gpd1"
0.99636018;"ENSMUSG00000023034";"vHC";"Swim_45min";3;45;"Nr4a1"
1.077934952;"ENSMUSG00000023067";"vHC";"Swim_45min";7;45;"Cdkn1a"
0.350782066;"ENSMUSG00000023336";"vHC";"Swim_45min";1;45;"Wfdc1"
-0.197845874;"ENSMUSG00000023800";"vHC";"Swim_45min";9;45;"Tiam2"
-0.262393447;"ENSMUSG00000023918";"vHC";"Swim_45min";12;45;"Adgrf4"
-0.21041794;"ENSMUSG00000023994";"vHC";"Swim_45min";12;45;"Nfya"
1.11535654;"ENSMUSG00000024042";"vHC";"Swim_45min";3;45;"Sik1"
0.258187682;"ENSMUSG00000024048";"vHC";"Swim_45min";10;45;"Myl12a"
0.195313118;"ENSMUSG00000024053";"vHC";"Swim_45min";25;45;"Emilin2"
0.05830838;"ENSMUSG00000024066";"vHC";"Swim_45min";6;45;"Xdh"
0.265377074;"ENSMUSG00000024087";"vHC";"Swim_45min";18;45;"Cyp1b1"
-0.01480216;"ENSMUSG00000024135";"vHC";"Swim_45min";9;45;"Srbd1"
